"label","n","parent","id"
"Chile",2,"total  -  Reality TV","total  -  Reality TV  -  Chile"
"Chile",124,"total  -  Romance","total  -  Romance  -  Chile"
"Chile",19,"total  -  Sci Fi","total  -  Sci Fi  -  Chile"
"Chile",1,"total  -  Short","total  -  Short  -  Chile"
"Chile",7,"total  -  Sport","total  -  Sport  -  Chile"
"Chile",64,"total  -  Thriller","total  -  Thriller  -  Chile"
"Chile",3,"total  -  War","total  -  War  -  Chile"
"Chile",3,"total  -  Western","total  -  Western  -  Chile"
"Colombia",144,"total  -  Action","total  -  Action  -  Colombia"
"Colombia",2,"total  -  Adult","total  -  Adult  -  Colombia"
"Colombia",104,"total  -  Adventure","total  -  Adventure  -  Colombia"
"Colombia",63,"total  -  Animation","total  -  Animation  -  Colombia"
"Colombia",6,"total  -  Biography","total  -  Biography  -  Colombia"
"Colombia",192,"total  -  Comedy","total  -  Comedy  -  Colombia"
"Colombia",113,"total  -  Crime","total  -  Crime  -  Colombia"
"Colombia",34,"total  -  Documentary","total  -  Documentary  -  Colombia"
"Colombia",284,"total  -  Drama","total  -  Drama  -  Colombia"
"Colombia",15,"total  -  Family","total  -  Family  -  Colombia"
"Colombia",23,"total  -  Fantasy","total  -  Fantasy  -  Colombia"
"Colombia",2,"total  -  Film Noir","total  -  Film Noir  -  Colombia"
"Colombia",24,"total  -  Horror","total  -  Horror  -  Colombia"
"Colombia",16,"total  -  Music","total  -  Music  -  Colombia"
"Colombia",7,"total  -  Musical","total  -  Musical  -  Colombia"
"Colombia",43,"total  -  Mystery","total  -  Mystery  -  Colombia"
"Colombia",3,"total  -  Reality TV","total  -  Reality TV  -  Colombia"
"Colombia",113,"total  -  Romance","total  -  Romance  -  Colombia"
"Colombia",16,"total  -  Sci Fi","total  -  Sci Fi  -  Colombia"
"Colombia",2,"total  -  Short","total  -  Short  -  Colombia"
"Colombia",6,"total  -  Sport","total  -  Sport  -  Colombia"
"Colombia",79,"total  -  Thriller","total  -  Thriller  -  Colombia"
"Colombia",2,"total  -  War","total  -  War  -  Colombia"
"Colombia",3,"total  -  Western","total  -  Western  -  Colombia"
"Costa Rica",123,"total  -  Action","total  -  Action  -  Costa Rica"
"Costa Rica",2,"total  -  Adult","total  -  Adult  -  Costa Rica"
"Costa Rica",95,"total  -  Adventure","total  -  Adventure  -  Costa Rica"
"Costa Rica",62,"total  -  Animation","total  -  Animation  -  Costa Rica"
"Costa Rica",6,"total  -  Biography","total  -  Biography  -  Costa Rica"
"Costa Rica",202,"total  -  Comedy","total  -  Comedy  -  Costa Rica"
"Costa Rica",101,"total  -  Crime","total  -  Crime  -  Costa Rica"
"Costa Rica",19,"total  -  Documentary","total  -  Documentary  -  Costa Rica"
"Costa Rica",319,"total  -  Drama","total  -  Drama  -  Costa Rica"
"Costa Rica",17,"total  -  Family","total  -  Family  -  Costa Rica"
"Costa Rica",18,"total  -  Fantasy","total  -  Fantasy  -  Costa Rica"
"Costa Rica",2,"total  -  Film Noir","total  -  Film Noir  -  Costa Rica"
"Costa Rica",1,"total  -  Game Show","total  -  Game Show  -  Costa Rica"
"Costa Rica",25,"total  -  Horror","total  -  Horror  -  Costa Rica"
"Costa Rica",32,"total  -  Music","total  -  Music  -  Costa Rica"
"Costa Rica",3,"total  -  Musical","total  -  Musical  -  Costa Rica"
"Costa Rica",40,"total  -  Mystery","total  -  Mystery  -  Costa Rica"
"Costa Rica",4,"total  -  Reality TV","total  -  Reality TV  -  Costa Rica"
"Costa Rica",133,"total  -  Romance","total  -  Romance  -  Costa Rica"
"Costa Rica",16,"total  -  Sci Fi","total  -  Sci Fi  -  Costa Rica"
"Costa Rica",1,"total  -  Short","total  -  Short  -  Costa Rica"
"Costa Rica",8,"total  -  Sport","total  -  Sport  -  Costa Rica"
"Costa Rica",76,"total  -  Thriller","total  -  Thriller  -  Costa Rica"
"Costa Rica",2,"total  -  War","total  -  War  -  Costa Rica"
"Costa Rica",3,"total  -  Western","total  -  Western  -  Costa Rica"
"Croatia",173,"total  -  Action","total  -  Action  -  Croatia"
"Croatia",5,"total  -  Adult","total  -  Adult  -  Croatia"
"Croatia",108,"total  -  Adventure","total  -  Adventure  -  Croatia"
"Croatia",53,"total  -  Animation","total  -  Animation  -  Croatia"
"Croatia",10,"total  -  Biography","total  -  Biography  -  Croatia"
"Croatia",206,"total  -  Comedy","total  -  Comedy  -  Croatia"
"Croatia",141,"total  -  Crime","total  -  Crime  -  Croatia"
"Croatia",32,"total  -  Documentary","total  -  Documentary  -  Croatia"
"Croatia",307,"total  -  Drama","total  -  Drama  -  Croatia"
"Croatia",19,"total  -  Family","total  -  Family  -  Croatia"
"Croatia",24,"total  -  Fantasy","total  -  Fantasy  -  Croatia"
"Croatia",3,"total  -  Film Noir","total  -  Film Noir  -  Croatia"
"Croatia",10,"total  -  Game Show","total  -  Game Show  -  Croatia"
"Croatia",4,"total  -  History","total  -  History  -  Croatia"
"Croatia",22,"total  -  Horror","total  -  Horror  -  Croatia"
"Croatia",3,"total  -  Music","total  -  Music  -  Croatia"
"Croatia",1,"total  -  Musical","total  -  Musical  -  Croatia"
"Croatia",48,"total  -  Mystery","total  -  Mystery  -  Croatia"
"Croatia",14,"total  -  Reality TV","total  -  Reality TV  -  Croatia"
"Croatia",89,"total  -  Romance","total  -  Romance  -  Croatia"
"Croatia",18,"total  -  Sci Fi","total  -  Sci Fi  -  Croatia"
"Croatia",15,"total  -  Sport","total  -  Sport  -  Croatia"
"Croatia",1,"total  -  Talk Show","total  -  Talk Show  -  Croatia"
"Croatia",69,"total  -  Thriller","total  -  Thriller  -  Croatia"
"Croatia",4,"total  -  War","total  -  War  -  Croatia"
"Cyprus",195,"total  -  Action","total  -  Action  -  Cyprus"
"Cyprus",3,"total  -  Adult","total  -  Adult  -  Cyprus"
"Cyprus",122,"total  -  Adventure","total  -  Adventure  -  Cyprus"
"Cyprus",47,"total  -  Animation","total  -  Animation  -  Cyprus"
"Cyprus",10,"total  -  Biography","total  -  Biography  -  Cyprus"
"Cyprus",195,"total  -  Comedy","total  -  Comedy  -  Cyprus"
"Cyprus",129,"total  -  Crime","total  -  Crime  -  Cyprus"
"Cyprus",22,"total  -  Documentary","total  -  Documentary  -  Cyprus"
"Cyprus",330,"total  -  Drama","total  -  Drama  -  Cyprus"
"Cyprus",24,"total  -  Family","total  -  Family  -  Cyprus"
"Cyprus",27,"total  -  Fantasy","total  -  Fantasy  -  Cyprus"
"Cyprus",2,"total  -  Film Noir","total  -  Film Noir  -  Cyprus"
"Cyprus",8,"total  -  Game Show","total  -  Game Show  -  Cyprus"
"Cyprus",3,"total  -  History","total  -  History  -  Cyprus"
"Cyprus",24,"total  -  Horror","total  -  Horror  -  Cyprus"
"Cyprus",2,"total  -  Music","total  -  Music  -  Cyprus"
"Cyprus",2,"total  -  Musical","total  -  Musical  -  Cyprus"
"Cyprus",50,"total  -  Mystery","total  -  Mystery  -  Cyprus"
"Cyprus",12,"total  -  Reality TV","total  -  Reality TV  -  Cyprus"
"Cyprus",94,"total  -  Romance","total  -  Romance  -  Cyprus"
"Cyprus",44,"total  -  Sci Fi","total  -  Sci Fi  -  Cyprus"
"Cyprus",9,"total  -  Sport","total  -  Sport  -  Cyprus"
"Cyprus",67,"total  -  Thriller","total  -  Thriller  -  Cyprus"
"Cyprus",4,"total  -  War","total  -  War  -  Cyprus"
"Cyprus",1,"total  -  Western","total  -  Western  -  Cyprus"
"Czech Republic",196,"total  -  Action","total  -  Action  -  Czech Republic"
"Czech Republic",2,"total  -  Adult","total  -  Adult  -  Czech Republic"
