"parents","n","labels","id"
"Colombia",34,"Documentary","Colombia  -  Documentary"
"Colombia",284,"Drama","Colombia  -  Drama"
"Colombia",15,"Family","Colombia  -  Family"
"Colombia",23,"Fantasy","Colombia  -  Fantasy"
"Colombia",2,"Film Noir","Colombia  -  Film Noir"
"Colombia",24,"Horror","Colombia  -  Horror"
"Colombia",16,"Music","Colombia  -  Music"
"Colombia",7,"Musical","Colombia  -  Musical"
"Colombia",43,"Mystery","Colombia  -  Mystery"
"Colombia",3,"Reality TV","Colombia  -  Reality TV"
"Colombia",113,"Romance","Colombia  -  Romance"
"Colombia",16,"Sci Fi","Colombia  -  Sci Fi"
"Colombia",2,"Short","Colombia  -  Short"
"Colombia",6,"Sport","Colombia  -  Sport"
"Colombia",79,"Thriller","Colombia  -  Thriller"
"Colombia",2,"War","Colombia  -  War"
"Colombia",3,"Western","Colombia  -  Western"
"Costa Rica",123,"Action","Costa Rica  -  Action"
"Costa Rica",2,"Adult","Costa Rica  -  Adult"
"Costa Rica",95,"Adventure","Costa Rica  -  Adventure"
"Costa Rica",62,"Animation","Costa Rica  -  Animation"
"Costa Rica",6,"Biography","Costa Rica  -  Biography"
"Costa Rica",202,"Comedy","Costa Rica  -  Comedy"
"Costa Rica",101,"Crime","Costa Rica  -  Crime"
"Costa Rica",19,"Documentary","Costa Rica  -  Documentary"
"Costa Rica",319,"Drama","Costa Rica  -  Drama"
"Costa Rica",17,"Family","Costa Rica  -  Family"
"Costa Rica",18,"Fantasy","Costa Rica  -  Fantasy"
"Costa Rica",2,"Film Noir","Costa Rica  -  Film Noir"
"Costa Rica",1,"Game Show","Costa Rica  -  Game Show"
"Costa Rica",25,"Horror","Costa Rica  -  Horror"
"Costa Rica",32,"Music","Costa Rica  -  Music"
"Costa Rica",3,"Musical","Costa Rica  -  Musical"
"Costa Rica",40,"Mystery","Costa Rica  -  Mystery"
"Costa Rica",4,"Reality TV","Costa Rica  -  Reality TV"
"Costa Rica",133,"Romance","Costa Rica  -  Romance"
"Costa Rica",16,"Sci Fi","Costa Rica  -  Sci Fi"
"Costa Rica",1,"Short","Costa Rica  -  Short"
"Costa Rica",8,"Sport","Costa Rica  -  Sport"
"Costa Rica",76,"Thriller","Costa Rica  -  Thriller"
"Costa Rica",2,"War","Costa Rica  -  War"
"Costa Rica",3,"Western","Costa Rica  -  Western"
"Croatia",173,"Action","Croatia  -  Action"
"Croatia",5,"Adult","Croatia  -  Adult"
"Croatia",108,"Adventure","Croatia  -  Adventure"
"Croatia",53,"Animation","Croatia  -  Animation"
"Croatia",10,"Biography","Croatia  -  Biography"
"Croatia",206,"Comedy","Croatia  -  Comedy"
"Croatia",141,"Crime","Croatia  -  Crime"
"Croatia",32,"Documentary","Croatia  -  Documentary"
"Croatia",307,"Drama","Croatia  -  Drama"
"Croatia",19,"Family","Croatia  -  Family"
"Croatia",24,"Fantasy","Croatia  -  Fantasy"
"Croatia",3,"Film Noir","Croatia  -  Film Noir"
"Croatia",10,"Game Show","Croatia  -  Game Show"
"Croatia",4,"History","Croatia  -  History"
"Croatia",22,"Horror","Croatia  -  Horror"
"Croatia",3,"Music","Croatia  -  Music"
"Croatia",1,"Musical","Croatia  -  Musical"
"Croatia",48,"Mystery","Croatia  -  Mystery"
"Croatia",14,"Reality TV","Croatia  -  Reality TV"
"Croatia",89,"Romance","Croatia  -  Romance"
"Croatia",18,"Sci Fi","Croatia  -  Sci Fi"
"Croatia",15,"Sport","Croatia  -  Sport"
"Croatia",1,"Talk Show","Croatia  -  Talk Show"
"Croatia",69,"Thriller","Croatia  -  Thriller"
"Croatia",4,"War","Croatia  -  War"
"Cyprus",195,"Action","Cyprus  -  Action"
"Cyprus",3,"Adult","Cyprus  -  Adult"
"Cyprus",122,"Adventure","Cyprus  -  Adventure"
"Cyprus",47,"Animation","Cyprus  -  Animation"
"Cyprus",10,"Biography","Cyprus  -  Biography"
"Cyprus",195,"Comedy","Cyprus  -  Comedy"
"Cyprus",129,"Crime","Cyprus  -  Crime"
"Cyprus",22,"Documentary","Cyprus  -  Documentary"
"Cyprus",330,"Drama","Cyprus  -  Drama"
"Cyprus",24,"Family","Cyprus  -  Family"
"Cyprus",27,"Fantasy","Cyprus  -  Fantasy"
"Cyprus",2,"Film Noir","Cyprus  -  Film Noir"
"Cyprus",8,"Game Show","Cyprus  -  Game Show"
"Cyprus",3,"History","Cyprus  -  History"
"Cyprus",24,"Horror","Cyprus  -  Horror"
"Cyprus",2,"Music","Cyprus  -  Music"
"Cyprus",2,"Musical","Cyprus  -  Musical"
"Cyprus",50,"Mystery","Cyprus  -  Mystery"
"Cyprus",12,"Reality TV","Cyprus  -  Reality TV"
"Cyprus",94,"Romance","Cyprus  -  Romance"
"Cyprus",44,"Sci Fi","Cyprus  -  Sci Fi"
"Cyprus",9,"Sport","Cyprus  -  Sport"
"Cyprus",67,"Thriller","Cyprus  -  Thriller"
"Cyprus",4,"War","Cyprus  -  War"
"Cyprus",1,"Western","Cyprus  -  Western"
"Czech Republic",196,"Action","Czech Republic  -  Action"
"Czech Republic",2,"Adult","Czech Republic  -  Adult"
"Czech Republic",145,"Adventure","Czech Republic  -  Adventure"
"Czech Republic",81,"Animation","Czech Republic  -  Animation"
"Czech Republic",15,"Biography","Czech Republic  -  Biography"
"Czech Republic",196,"Comedy","Czech Republic  -  Comedy"
"Czech Republic",135,"Crime","Czech Republic  -  Crime"
"Czech Republic",38,"Documentary","Czech Republic  -  Documentary"
"Czech Republic",298,"Drama","Czech Republic  -  Drama"
"Czech Republic",22,"Family","Czech Republic  -  Family"
"Czech Republic",45,"Fantasy","Czech Republic  -  Fantasy"
"Czech Republic",2,"Film Noir","Czech Republic  -  Film Noir"
"Czech Republic",12,"Game Show","Czech Republic  -  Game Show"
"Czech Republic",2,"History","Czech Republic  -  History"
"Czech Republic",31,"Horror","Czech Republic  -  Horror"
"Czech Republic",7,"Music","Czech Republic  -  Music"
"Czech Republic",5,"Musical","Czech Republic  -  Musical"
"Czech Republic",54,"Mystery","Czech Republic  -  Mystery"
"Czech Republic",17,"Reality TV","Czech Republic  -  Reality TV"
