"country_name","genres","n"
"Japan","Sport",4
"Japan","Thriller",65
"Japan","War",3
"Jordan","Action",197
"Jordan","Adult",4
"Jordan","Adventure",88
"Jordan","Animation",33
"Jordan","Biography",17
"Jordan","Comedy",243
"Jordan","Crime",118
"Jordan","Documentary",18
"Jordan","Drama",297
"Jordan","Family",14
"Jordan","Fantasy",32
"Jordan","Film-Noir",3
"Jordan","Game-Show",5
"Jordan","History",4
"Jordan","Horror",25
"Jordan","Musical",3
"Jordan","Mystery",39
"Jordan","Reality-TV",7
"Jordan","Romance",165
"Jordan","Sci-Fi",25
"Jordan","Sport",6
"Jordan","Thriller",84
"Jordan","War",6
"Kenya","Action",196
"Kenya","Adult",6
"Kenya","Adventure",85
"Kenya","Animation",27
"Kenya","Biography",13
"Kenya","Comedy",192
"Kenya","Crime",136
"Kenya","Documentary",22
"Kenya","Drama",337
"Kenya","Family",15
"Kenya","Fantasy",27
"Kenya","Film-Noir",3
"Kenya","Game-Show",11
"Kenya","History",2
"Kenya","Horror",21
"Kenya","Music",1
"Kenya","Musical",1
"Kenya","Mystery",51
"Kenya","Reality-TV",19
"Kenya","Romance",92
"Kenya","Sci-Fi",35
"Kenya","Sport",10
"Kenya","Thriller",94
"Kenya","War",1
"Kuwait","Action",211
"Kuwait","Adult",2
"Kuwait","Adventure",119
"Kuwait","Animation",56
"Kuwait","Biography",13
"Kuwait","Comedy",175
"Kuwait","Crime",119
"Kuwait","Documentary",16
"Kuwait","Drama",325
"Kuwait","Family",27
"Kuwait","Fantasy",42
"Kuwait","Film-Noir",3
"Kuwait","Game-Show",7
"Kuwait","History",3
"Kuwait","Horror",35
"Kuwait","Music",1
"Kuwait","Musical",3
"Kuwait","Mystery",52
"Kuwait","Reality-TV",10
"Kuwait","Romance",77
"Kuwait","Sci-Fi",26
"Kuwait","Sport",4
"Kuwait","Thriller",96
"Kuwait","War",5
"Latvia","Action",175
"Latvia","Adult",1
"Latvia","Adventure",132
"Latvia","Animation",81
"Latvia","Biography",11
"Latvia","Comedy",238
"Latvia","Crime",121
"Latvia","Documentary",28
"Latvia","Drama",269
"Latvia","Family",17
"Latvia","Fantasy",24
"Latvia","Film-Noir",2
"Latvia","Game-Show",12
"Latvia","History",2
"Latvia","Horror",23
"Latvia","Music",2
"Latvia","Mystery",63
"Latvia","Reality-TV",16
"Latvia","Romance",86
"Latvia","Sci-Fi",39
"Latvia","Sport",10
"Latvia","Thriller",62
"Latvia","War",3
"Lebanon","Action",191
"Lebanon","Adult",5
"Lebanon","Adventure",92
"Lebanon","Animation",26
"Lebanon","Biography",15
"Lebanon","Comedy",190
"Lebanon","Crime",133
"Lebanon","Documentary",21
"Lebanon","Drama",376
"Lebanon","Family",18
"Lebanon","Fantasy",45
"Lebanon","Film-Noir",3
"Lebanon","Game-Show",8
"Lebanon","History",3
"Lebanon","Horror",21
"Lebanon","Music",2
"Lebanon","Musical",4
"Lebanon","Mystery",37
"Lebanon","Reality-TV",10
"Lebanon","Romance",112
"Lebanon","Sci-Fi",27
"Lebanon","Sport",7
"Lebanon","Thriller",88
"Lebanon","War",5
"Lithuania","Action",147
"Lithuania","Adult",2
"Lithuania","Adventure",92
"Lithuania","Animation",49
"Lithuania","Biography",13
"Lithuania","Comedy",221
"Lithuania","Crime",121
"Lithuania","Documentary",32
"Lithuania","Drama",261
"Lithuania","Family",19
"Lithuania","Fantasy",28
